project,desc,knowledge
numpy,"So creating a properly working `fastsearchsorted` and implementing a properly working `digitize` based on it seems like the way to go, even if it causes relatively large slowdowns for tiny sizes.",Performance Attributes
gensim,"To compute a matrix between **all** vectors at once (faster), you can use `numpy` or `gensim.similarities`.",Functionality & Behavior
scikit-learn,Arrays with non numeric dtype should raise an exception; possibly using `check_array` but that may have a negative performance impact.,Performance Attributes
tensorflow,"I'm aware that `tf.parse_single_sequence_example` is inefficient, but there is no equivalent to `tf.parse_example` for sequence examples.",Performance Attributes
pandas,I found a performance issue involving modifying `DataFrame` objects.,Performance Attributes
tensorflow,"We recommend using `tf.function`, as in increases performance and avoids these memory build-ups.",Usage Practice
numpy,"It uses `apply_along_axis` for multidimensional cases, which is not any faster than a Python loop.","Implementation or Internal Aspects, Alternatives"
tensorflow,I'm trying to understand if tf.where isthe only source of slowdown compared to your streamlined versions.,Performance Attributes
scikit-learn,"Maybe we can use ``scipy.special.expit`` instead, seems that it's much faster than our implementation.",Alternatives
tensorflow,I have run into into performance and portability issues with tf.conrtib.learn estimators that use high level feature columns and have done extensive code traversal to figure out a possible solution to make predictions faster.,Performance Attributes
scipy,"In this, I find that `convolve2d` is faster than the minimum time required for `fftconvolve` or `convolve`.",Alternatives
pandas,"This uses ``np.bincount`` rather than ``algos.unique`` to check _if_ there are unused levels: since levels indexes are adjacent integers, the former is faster (~50% in my tests).",Alternatives
pandas,"In many cases, using `append` to add rows is not the best way to go, as this is very inefficient (certainly if you do this in a for loop, each time taking a copy)",Usage Practice
gensim,"Also the `init_sims` which is ""freezing"" the model, so that its faster an smaller, is a good thing.","Functionality & Behavior, Performance Attributes"
pandas,"It's on by default, but turning it off is a performance improvement in case the index/inverse are immediately plugged together again (as is the case for `Series`/`DataFrame`).",Purpose & Rationale
scikit-learn,You should add a section in the LassoLars narrative documentation to quickly explain what AIC and BIC stand for and that `LassoLarsIC` can be used as a computationally cheaper alternative to `LassoLarsCV` to find the optimal value of alpha by computing the regularization path once instead of `k` times when using `LassoLarsCV(cv=k)`.,"Alternatives, Functionality & Behavior"
pandas,see above commit...added a new cython function that's about 25% faster than np.vectorize and gets the types right.,Alternatives
gensim,But calling `logaddexp` many times would be slower than using an already populated table to get those values IMO.,"Usage Practice, Alternatives"
tensorflow,"I'm not entirely sure that makes sense, though, because it *might* have performance consequences to copy large tensors from `tf.Variable` objects into NumPy arrays.",Performance Attributes
pandas,`Timestamp` is a performant replacement that is feature-full like `datetime.datetime` and performant like `np.datetime64`,Alternatives
numpy,"Timed it, looks like it's about 2-3x faster than my original algorithm for  `np.random.rand(30000,2000)`",Alternatives
scipy,``SuperLU`` does not have a special function to solve systems with triangle matrices and my proposed function is faster than the general solve ``function`` from ``SuperLU``.,Alternatives
pandas,"People relying on `.values` for datetime aware series, should already be aware of the current output and have to work around its limitations (eg save metadata to faithfully recreate the series again), just as they will have to do with the new output of an object array (eg convert to datetime64 array any way if it is for performance sensitive code), but only in a different way, and keeping both ways if they want to support multiple pandas versions.",Usage Practice
numpy,@shoyer - my attempts to make `__array_ufunc__` faster included a merger of inputs and outputs into a single list - which would make the collection stage (even) more similar.,Purpose & Rationale
scikit-learn,"> that the .sign() method would be optimized and therefore faster, however",Misc
gensim,"That said, there's no surprise that ""2nd way"" is slower - every call to `train()` will iterate over your corpus multiple times per the value of the model's `iter` parameter (default 5).","Performance Attributes, Functionality & Behavior"
numpy,There is a benchmark that shows that `inner` now sees the `syrk` speedup.,Performance Attributes
gensim,"If performance is a concern, SCM can be computed in a single step by computing `q^T * S * C`, where `q` is the normalized query vector, `S` is the term similarity matrix, `C` is the normalized term-document matrix of the corpus, and 闂佽法鍠庨～鏇㈠磿閺屻儲鏅哥紒宸磸malized闂?in this context stands for a vector `v` being divided by `sqrt(v^T * S * v)`.",Usage Practice
tensorflow,I am trying to add @tf.function for performance enhancement reasons to my custom training code in Tensorflow 2.0.,Usage Practice
numpy,"Poking around at various array sizes it seems like MKL `sincos` offers maybe a 20% speedup over MKL `sin` and `cos`, while numpy `sin`/`cos` is 10x slower for largeish inputs on my machine.",Alternatives
pandas,"But it _seems_ like we can just `astype` the converted string to the new length, which is quite a bit faster.",Alternatives
scipy,"I assume inv() does a Gaussian elimination (I haven't verified this), whereas cho_factor exploits the necessary condition that the covariance matrix must be symmetric and positive-definite and, while it'll still take O(N^3) operations asymptotically, it is about a factor of two faster.","Alternatives, Implementation or Internal Aspects, Performance Attributes"
gensim,"Not the most rigorous test there is, but we can see ~10% speedup with both `scan_vocab` and the iterator cythonized...",Performance Attributes
scikit-learn,`pairwise_distances` slower with `n_jobs>1`) will probably also apply here.,Performance Attributes
pandas,In some quickie timings (1000 rows and 2 columns) it is just a little slower than cumsum() and much faster than expanding().count().,Alternatives
pandas,infer_dtype() function slower in latest version,Performance Attributes
pandas,At least with `days_in_month` getting similar performance both ways,Alternatives
pandas,Added benchmarks and optimized `.apply` to not use inefficient looping.,Purpose & Rationale
scikit-learn,":-( It is to be expected that `NearestNeighbors.radius_neighbors` is 2x slower than the distance matrix, but the savings inside the `while(len(candidates) > 0)` may be negative in the worst case.","Performance Attributes, Implementation or Internal Aspects"
pandas,"When searchsorted is used (eg as `labels.searchsorted(loc)`), it is important that `loc` is first cast to the same dtype as `labels` for performance reasons.",Implementation or Internal Aspects
scikit-learn,"- is much smaller and less nested in code, and should be faster in some cases, taking advantage of `LabelEncoder` to use `bincount` (and building upon vectorized multilabel support in #1985, #1987).","Performance Attributes, Implementation or Internal Aspects"
scikit-learn,manhattan_distances is much slower than scipy.spatial.distance.cityblock,Alternatives
tensorflow,**Update**: I see no performance benefit from using `tf.data.Dataset` on Numpy arrays; they're even.,Performance Attributes
pandas,- `nth` is a fair bit slower than `first/last` which are calling cython routines.,Alternatives
tensorflow,tf.function decorator with GradientTape >10x slower than tf.keras.model.Models.fit(),Alternatives
scipy,Massive performance regression in cKDTree.query with L_inf distance in scipy 0.17,Performance Attributes
