project,desc,knowledge
numpy,"In this example, compress is ~20% faster, but the time savings varies on the size of a and the number of True values in the boolean array b, but on my machine compress is always faster.","attributes,alternatives"
gensim,A cleaner and faster way is to load the model directly from S3 through smart_open which is used by gensim.models.KeyedVectors.load() as well as gensim.models.KeyedVectors.load_word2vec_format().,practice
gensim,"You can do this, but (1) if the new sentences has new words/tags, they'll be skipped as unknown; (2) if the new sentences has a different length, progress reports & learning-rate decay may not be updated properly; (3) it may offer the model a slight 'head start' on useful values, and skips the initial vocabulary-scan, but won't cause the train() itself to go any faster.",practice
numpy,"That being said, the fastest way will be to use numpy.where",practice
scipy,My numerical integration of the PDF using scipy.integrate.quad is about 50x slower than integrate_box_1d.,alternatives
numpy,The function np.vectorize gave a speed up of a factor 100 for my rather complex code with respect to the loop-filled list!,alternatives
gensim,"While you could save that via plain Python-pickle, at that point you might as well use the KeyedVectors built-in save() and load() - they may be more efficient on large vector sets (by saving large sets of raw vectors as a separate file which should be kept alongside the main file).",practice
scipy,The performance advantage of using cdist or vectorized numpy solutions typically occurs when the arrays are sufficiently large.,"attributes,practice"
pandas,"@HernandoCasas if you are worried about performance, you can always just pass df.dtypes.to_dict() as an argument to the function when applying it...",practice
gensim,Any faster speedups would require making optimizations to the infer_vector() implementation in gensim 閿?which is an open issue on the project that would accept contributed improvements.,impl
pandas,Try to avoid using .apply() method as it's usually pretty slow.,"attributes,practice"
gensim,"(Still, any most_similar() checks after the 1st won't need to re-fill the unit-normalized vector cache, so should go faster than the 1st call.","functionality,impl"
pandas,"Note that iterrows is very slow (it converts every row to a series, potentially messing with your data types).","attributes,impl"
scipy,"Is it possible to compute the pairwise distance matrix or the distance between each pair of the two input arrays using cdist or pdist, without using a for loop and scipy.spatial.distance.euclidean which is too slow for my problem?",attributes
numpy,It should also be noted that np.dot could fall back to slower routines if numpy was not compiled to use BLAS.,"functionality,impl"
tensorflow,On the other hand if efficiency is important it may be better to reshape embed to be a 2D tensor so the multiplication can be done with a single matmul like this:,practice
pandas,"Do not use apply, which is very slow.","attributes,practice"
tensorflow,"I know that one can do it with tf.cond, but the problem with it is that both train and val batch ops would be executed when tf.cond is called.
On github ebrevdo told (link to the comment) that it's possible to use tf.train.maybe_batch for this purpose instead, which is more efficient.",alternatives
pandas,themes.groupby('code').ffill().bfill() should work (unless every value is NaN inside a group) and should even be faster.,practice
numpy,This works too but np.transpose seems to be much faster,alternatives
gensim,"The reasons are simple: first of all, I already have a great deal of vectorized data; second, I prefer the interface and flexibility of scikit-learn vectorizers; third, even though topic modelling with gensim is very fast, computing its dictionaries (Dictionary()) is relatively slow in my experience.",attributes
numpy,Another test with 1000 test runs for timeit showed that your approach was marginally slower than the concatenate.,alternatives
tensorflow,"From my previous experience, I found tf.concat is a very slow operation.",attributes
tensorflow,"It is potentially less efficient in terms of memory since it requires twice the memory to handle the a-like to_update variable, but you could easily modify this last example to get a gradient-preserving operation from the tf.select(...) node.",attributes
tensorflow,dynamic_rnn is even faster (or equal) so he suggests to use dynamic_rnn anyway.,attributes
tensorflow,"As a fix until I come up with a solution, I am simply using tf.py_func() but since this operation has to be executed a lot it's very slow and inefficient.",attributes
pandas,The fastest method would be to set 'Letters' as the index for df_a and then call map:,practice
gensim,"Taking a look here at the gensim page: radimrehurek.com/gensim/models/word2vec.html#usage-examples It says the Word2Vec model is only used for training the word vectors, as this format is much slower than KeyedVectors.",practice
numpy,Using transpose should be also quite fast.,attributes
scipy,"csr_matrix is faster when indexing rows, csc_matric when indexing columns.",practice
scipy,"Even for a coo matrix with (1,1210) shape, this list iterative version is noticeably faster:",practice
pandas,"This is faster df[[""14:1F:BA:14:E4:5E"".startswith(x) for x in df.mac.values.tolist()]]",alternatives
gensim,"You might get a slight speedup from calling infer_vector() from multiple threads, on different subsets of the new data on which you need to infer vectors.",practice
sklearn,"Edit 2: Actually, often scaling the input variables to [0, 1] or [-1, 1] or to unit variance using StandardScaler can speed up the convergence by quite a bit.",practice
pandas,"When should I ever want to use pandas apply() in my code? This is highly likely to be slow, whatever you do.","attributes,practice"
tensorflow,"If you implement the same pipeline using the tf.data.Dataset API and using queues, the performance of the Dataset version should be better than the queue-based version.",alternatives
pandas,"Or, with replace (also works with Series, though slower, as not vectorised):",alternatives
scipy,"If you find that he KDTree is really slow, why not call query_ball_point once every five pixels with a slightly larger threshold?",attributes
tensorflow,"(NOTE: The CuDNNLSTM layer does the same as the LSTM layer in Keras, but it runs much faster on Nvidia GPUs)","alternatives,environment"
numpy,"You could probably gain some performance for small arrays with np.dot that would also involve some reshaping, like so -

Benchmarking",practice
sklearn,"I also tried sklearn.feature_extraction.image.extract_patches_2d and found this is faster than code3, but still slower than code1.",alternatives
numpy,stackoverflow.com/questions/27624678 is another recent discussion of numpy speedup via vectorization.,references
scipy,"So, in short, ndimage.convolve is always faster, except when the kernel size is very large (as K = 31 in the last test).","alternatives,practice"
gensim,"But, gensim is saving a model to multiple files for both efficiency, and to be sure of not htting size limitations in Python pickle().",rationale
gensim,"Normally, you don't want a Word2Vec/Doc2Vec-style training session to use any virtual memory, because any recourse to slower disk IO makes training extremely slow.",practice
numpy,"That was my thought as well, but in my intial testing showed that einsum was actually faster for any size and dtype.",attributes
gensim,"(Also note: one of the simple & fast Doc2Vec modes, that's also often a top-performer, especially on shorter texts, is plain PV-DBOW mode: dm=0.","attributes,practice"
pandas,you can try if pivot_table would be faster:,alternatives
tensorflow,"I believe the principle of broadcasting is to do exactly what you do with the map there, but do it in a much faster way (numpy does the loop in native code).","functionality,impl"
tensorflow,"I'm not aware of any concrete plans, although the tf.train.Saver is currently being revised (to use a more efficient checkpoint format), so it might be possible to piggy-back the implementation on that effort.",impl
scipy,"You can try interp1d() from scipy.interpolate, but again I think there will be no significant performance difference.",alternatives
gensim,"Specifying a larger min_count before training will discard more low-frequency words 閿?and very-low-frequency words often just hurt the model anyway, so this trimming often improves three things simultaneously: faster training, smaller model, and higher-quality-results on downstream tasks.",functionality
gensim,"As such, it saves a bit of memory, and performs later corpus-transformations a little faster, but if you only keep the Phraser, you lose the ability to try other thresholds/min_counts below what was used in its creation.",attributes
gensim,"(Smaller min_count values mean a larger model, slower training, poor-quality vectors for words with just a few examples, and also counterintuitively worse-quality vectors for more-frequent words too, because of interference from the noisy rare words.",functionality
pandas,"Suprisingly, min seems to be much faster than the lookup",alternatives
