project,desc,knowledge
gensim,"{Word2Vec, FastText, Doc2Vec}`** which leads to (much) faster training on machines with many cores.",Performance Attribute
gensim,"## Motivation

The original implementation of Word2Vec training in Gensim is already super fast (covered in [this blog series](https://rare-technologies.com/word2vec-in-python-part-two-optimizing/), see also [benchmarks against other implementations in Tensorflow, DL4J, and C](https://rare-technologies.com/machine-learning-hardware-benchmarks/)) and flexible, allowing you to train on arbitrary Python streams.",Performance Attribute
gensim,"We had to jump through [some serious hoops](https://www.youtube.com/watch?v=vU4TlwZzTfU) to make it so, avoiding the Global Interpreter Lock (the dreaded GIL, the main bottleneck for any serious high performance computation in Python).",Implementation Details
gensim,"After [much](https://github.com/RaRe-Technologies/gensim/pull/2127) [experimentation](https://github.com/RaRe-Technologies/gensim/pull/2048#issuecomment-401494412) and [benchmarking](https://persiyanov.github.io/jekyll/update/2018/05/28/gsoc-first-weeks.html), including some pretty [hardcore outlandish ideas](https://github.com/RaRe-Technologies/gensim/pull/2127#issuecomment-405937741), we figured there's no way around the GIL limitations闂佺偨鍎查弨绨卼 at the level of fine-tuned performance needed here.",Implementation Details
gensim,"So we decided to introduce a new code path, which has *less flexibility* in favour of *more performance*.",Purpose & Rationale
gensim,"Training with `corpus_file` yields a **significant performance boost**: for example, in the experiment belows training is 3.7x faster with 32 workers in comparison to training with `sentences` argument.","Performance Attribute, Usage Practice"
gensim,It even outperforms the original Word2Vec C tool in terms of words/sec processing speed on high-core machines.,Performance Attribute
gensim,**We see a 1.67x performance boost!,Performance Attribute
gensim,**A 6.6x speedup!,Performance Attribute
gensim,Training will be much faster.,Performance Attribute
gensim,"In case your corpus is generated dynamically, you can either serialize it to disk first with `gensim.utils.save_as_line_sentence` (and then use the fast `corpus_file`), or if that's not possible continue using the existing `sentences` training mode.",Usage Practice
gensim,"In this way, *gensim* can also be used as a memory-efficient **I/O format conversion tool**: just load a document stream using one format and immediately save it in another format.","Functionality & Behavior, Usage Practice"
gensim,"## Compatibility with NumPy and SciPy

Gensim also contains [efficient utility functions](http://radimrehurek.com/gensim/matutils.html) to help converting from/to `numpy` matrices:",Functionality & Behavior
gensim,Word2Vec slightly outperforms FastText on semantic tasks though.,Comparison w/ Alternatives
gensim,"It uses `similarities.MatrixSimilarity` and `similarities.SparseMatrixSimilarity` internally, so it is still fast, although slightly more complex.","Performance Attribute, Implementation Details"
gensim,"When in doubt, use `similarities.Similarity`, as it is the most scalable version, and it also supports adding more documents to the index later.",Usage Practice
gensim,"If you want to get dirty, there are also parameters you can tweak that affect speed vs. memory footprint vs. numerical precision of the LSI algorithm.",Usage Practice
gensim,"gensim also executes a stochastic multi-pass algorithm from Halko et al. [4] internally, to accelerate in-core part of the computations.",Implementation Details
gensim,"See also 
    [Experiments on the English Wikipedia](https://radimrehurek.com/gensim/wiki.html) for further speed-ups by distributing the computation across a cluster of computers.",Ref
gensim,"This is a very efficient (both memory- and CPU-friendly) approach to approximating TfIdf distances between documents, by throwing in a little randomness.",Functionality & Behavior
gensim,"gensim uses a fast implementation of online LDA parameter estimation based on [2], modified to run in distributed mode on a cluster of computers.",Implementation Details
gensim,"gensim uses a fast, online implementation based on [3].",Implementation Details
gensim,"The intuition behind the method is that we find the minimum ""traveling distance"" between documents, in other words the most efficient way to ""move"" the distribution of document 1 to the distribution of document 2.",Purpose & Rationale
gensim,"Training times for gensim are slightly lower than the fastText no-ngram model, and significantly lower than the n-gram variant.",Performance Attribute
gensim,Annoy can find approximate nearest neighbors much faster.,Purpose & Rationale
gensim,"
**This speedup factor is by no means constant** and will vary greatly from run to run and is particular to this data set, BLAS setup, Annoy parameters(as tree size increases speedup factor decreases), machine specifications, among other factors.",Performance Attribute
gensim,"If you are making many queries however, the time it takes to initialize the annoy indexer will be made up for by the incredibly fast retrieval times for queries once the indexer has been initialized

>**Note** : Gensim's 'most_similar' method is using numpy operations in the form of dot product whereas Annoy's method isnt.",Functionality & Behavior
gensim,* Specified the mini-batch size (`chunksize`) (primarily to speed up training).,Purpose & Rationale
gensim,"This can of course be quite computationally demanding, so it is recommended that you do this *only* when necessary; that is, wait until you have as much new data as possible to update, rather than updating the model for every new document.",Usage Practice
gensim,"However, Le and Mikolov in 2014 introduced the <i>Paragraph Vector</i>, which usually outperforms such simple-averaging.",Concept
gensim,"* Added to that DBOW model are two DM models, one which averages context vectors (`dm_mean`) and one which concatenates them (`dm_concat`, resulting in a much larger, slower, more data-hungry model)",Concept
gensim,Le and Mikolov notes that combining a paragraph vector from Distributed Bag of Words (DBOW) and Distributed Memory (DM) improves performance.,Usage Practice
gensim,"Concurrent word-training slows DBOW mode significantly, and offers little improvement (and sometimes a little worsening) of the error rate on this IMDB sentiment-prediction task, but may be appropriate on other tasks, or if you also need word-vectors.",Usage Practice
gensim,Note that computing n-grams of large dataset can be very computationally intentensive and memory intensive.,Performance Attribute
gensim,"Increasing chunksize will speed up training, at least as long as the chunk of documents easily fit into memory.",Performance Attribute
gensim,The code currently runs between 5 to 7 times slower than the original C++ DTM code.,Comparison w/ Alternatives
gensim,Speeding this up would fix things up!,Performance Attribute
gensim,"TODO: check memory, check BLAS, see how performance can be improved memory and speed wise.",Misc
gensim,"When it comes to performance, the C++ is undoubtedly faster, but we can continue to work on ours to make it as fast.",Comparison w/ Alternatives
gensim,"SVD (another popular matrix factorization method with [super-efficient implementation in Gensim](https://radimrehurek.com/gensim/models/lsimodel.html)), which produces dense negative factors and thus harder-to-interpret topics.","Concept, Implementation Details"
gensim,"### Main insights

- Gensim NMF is **ridiculously fast** and leaves both LDA and Sklearn far behind in terms of training time and quality on downstream task (F1 score), though coherence is the lowest among all models.","Comparison w/ Alternatives, Performance Attribute"
gensim,"### Insights

Gensim's online NMF outperforms Sklearn's NMF in terms of speed and RAM consumption:

- **2x** faster.",Comparison w/ Alternatives
gensim,"Compared to Gensim's LDA, Gensim NMF also gives superior results:

- **3x** faster
- Coherence is worse than LDA's though.",Comparison w/ Alternatives
gensim,"As you can see, Gensim's NMF implementation is slower than Sklearn's on **dense** vectors, while achieving comparable quality.",Comparison w/ Alternatives
gensim,"# Conclusion

Gensim NMF is an extremely fast and memory-optimized model.",Performance Attribute
gensim,One of the benefits of this separation is that we can easily measure the speed at which a **TermSimilarityIndex** builder class produces term similarities and compare this speed with the speed at which the **SparseTermSimilarityMatrix** director class consumes term similarities.,Purpose & Rationale
gensim,This allows us to see which of the classes are a bottleneck that slows down the construction of term similarity matrices.,Purpose & Rationale
gensim,"This in turn increases the consumption speed, since we end up throwing away most of the elements that we consume.",Purpose & Rationale
gensim,The effects of the dictionary size on the mean term similarity consumption speed are minor to none.,Performance Attribute
gensim,"Gensim currently supports slow and precise nearest neighbor search, and also approximate nearest neighbor search using [ANNOY][].",Functionality & Behavior
gensim,Computing a normalized inner product (**normalized**${}={}$True) results in a constant speed decrease.,Performance Attribute
gensim,So the former is <i>more than twice as fast</i>.,Performance Attribute
gensim,"Another possible reason for the difference in running times is that the problems converge at different rates, meaning that the error drops slower for some datasets than for others.",Performance Attribute
gensim,"The ""c_v"" coherence method makes an expensive pass over the corpus, accumulating term occurrence and co-occurrence counts.",Functionality & Behavior
gensim,"## Training
`Word2Vec` accepts several parameters that affect both training speed and quality.",Functionality & Behavior
gensim,"### workers
`workers`, the last of the major parameters (full list [here](http://radimrehurek.com/gensim/models/word2vec.html#gensim.models.word2vec.Word2Vec)) is for training parallelization, to speed up training:",Functionality & Behavior
gensim,"Without Cython, you闂佺偨鍎查悰鐒?only be able to use one core because of the [GIL](https://wiki.python.org/moin/GlobalInterpreterLock) (and `word2vec` training will be [miserably slow](http://rare-technologies.com/word2vec-in-python-part-two-optimizing/)).",Usage Practice
gensim,"### Adding Word2Vec ""model to dict"" method to production pipeline
Suppose, we still want more performance improvement in production.",Purpose & Rationale
gensim,"This lets `gensim` know that it can run two jobs on each of the four computers in
 parallel, so that the computation will be done faster, while also taking up twice
 as much memory on each machine.","Functionality & Behavior, Purpose & Rationale"
gensim,"* Efficient implementations for several popular vector space algorithms,
   including :class:`~gensim.models.word2vec.Word2Vec`, :class:`~gensim.models.doc2vec.Doc2Vec`, :class:`~gensim.models.fasttext.FastText`,
   TF-IDF, Latent Semantic Analysis (LSI, LSA, see :class:`~gensim.models.lsimodel.LsiModel`),
   Latent Dirichlet Allocation (LDA, see :class:`~gensim.models.ldamodel.LdaModel`) or Random Projection (see :class:`~gensim.models.rpmodel.RpModel`).",Implementation Details
gensim,"For a built-in example of an efficient corpus format streamed directly from disk, see
         the Matrix Market format in :mod:`~gensim.corpora.mmcorpus`.","Implementation Details, Ref"
gensim,"To save the same Matrix Market document stream in Blei's LDA-C format,
 
 .. sourcecode:: pycon
 
     >>> corpora.BleiCorpus.serialize('/tmp/corpus.lda-c', corpus)
 
 In this way, `gensim` can also be used as a memory-efficient **I/O format conversion tool**:
 just load a document stream using one format and immediately save it in another format.",Usage Practice
gensim,"Compatibility with NumPy and SciPy
 ----------------------------------
 
 Gensim also contains `efficient utility functions <http://radimrehurek.com/gensim/matutils.html>`_
 to help converting from/to numpy matrices
 
 .. sourcecode:: pycon
 
     >>> import gensim
     >>> import numpy as np
     >>> numpy_matrix = np.random.randint(10, size=[5, 2])  # random matrix as an example
     >>> corpus = gensim.matutils.Dense2Corpus(numpy_matrix)
     >>> numpy_matrix = gensim.matutils.corpus2dense(corpus, num_terms=number_of_corpus_features)
 
 and from/to `scipy.sparse` matrices
 
 .. sourcecode:: pycon
 
     >>> import scipy.sparse
     >>> scipy_sparse_matrix = scipy.sparse.random(5, 2)  # random sparse matrix as example
     >>> corpus = gensim.matutils.Sparse2Corpus(scipy_sparse_matrix)
     >>> scipy_csc_matrix = gensim.matutils.corpus2csc(corpus)
 
 -------------
 
 For a complete reference (Want to prune the dictionary to a smaller size?",Functionality & Behavior
gensim,"This both improves efficiency
    (new representation consumes less resources) and efficacy (marginal data
    trends are ignored, noise-reduction).",Purpose & Rationale
gensim,"This is a very efficient (both memory- and
   CPU-friendly) approach to approximating TfIdf distances between documents, by throwing in a little randomness.",Functionality & Behavior
gensim,".. sourcecode:: pycon
 
     >>> model = models.LdaModel(corpus, id2word=dictionary, num_topics=100)
 
   `gensim` uses a fast implementation of online LDA parameter estimation based on [2]_,
   modified to run in :doc:`distributed mode <distributed>` on a cluster of computers.",Implementation Details
gensim,"* `Hierarchical Dirichlet Process, HDP <http://jmlr.csail.mit.edu/proceedings/papers/v15/wang11a/wang11a.pdf>`_
   is a non-parametric bayesian method (note the missing number of requested topics):
 
   .. sourcecode:: pycon
 
     >>> model = models.HdpModel(corpus, id2word=dictionary)
 
   `gensim` uses a fast, online implementation based on [3]_.",Implementation Details
gensim,"It uses :class:`similarities.MatrixSimilarity` and :class:`similarities.SparseMatrixSimilarity` internally,
   so it is still fast, although slightly more complex.","Implementation Details,Performance Attribute"
gensim,"When in doubt,
 use :class:`similarities.Similarity`, as it is the most scalable version, and it also
 supports adding more documents to the index later.","Functionality & Behavior,Usage Practice"
gensim,"The difference is that given a
 reasonably stationary document stream (not much topic drift), the online updates
 over the smaller chunks (subcorpora) are pretty good in themselves, so that the
 model estimation converges faster.",Implementation Details
gensim,"If you need your results faster, consider running :doc:`dist_lda` on a cluster of
 computers.",Usage Practice
gensim,"If there is topic drift in the input document stream, LDA will get
 confused and be increasingly slower at adjusting itself to the new state of affairs.",Functionality & Behavior
numpy,"Starting from numpy
    1.4, if one needs arrays of strings, it is recommended to use arrays of
    `dtype` `object_`, `string_` or `unicode_`, and use the free functions
    in the `numpy.char` module for fast vectorized string operations.",Usage Practice
numpy,".. admonition:: Example
 
     >>> np.busday_offset('2012-05', 1, roll='forward', weekmask='Sun')
     numpy.datetime64('2012-05-13','D')
 
 When performance is important for manipulating many business dates
 with one particular choice of weekmask and holidays, there is
 an object :class:`busdaycalendar` which stores the data necessary
 in an optimized form.","Functionality & Behavior,Implementation Details,Usage Practice"
numpy,"However, it is
 faster when ``obj.shape == x.shape``.",Usage Practice
numpy,"``intp`` is the smallest data type
   sufficient to safely index any array; for advanced indexing it may be
   faster than other types.","Usage Practice,Functionality & Behavior"
numpy,"This is done for access efficiency,
 reflecting the idea that by default one simply wants to visit each element
 without concern for a particular ordering.",Purpose & Rationale
numpy,"While this is simple and convenient, it is not very efficient.",Usage Practice
