project,desc,knowledge
gensim,"for better performance and to store the entire object state,",usage practice
gensim,"""""""treat a wikipedia articles dump as a read-only, streamed, memory-efficient corpus",functionality desc
gensim,"If the number of terms, documents and non-zero elements is known, you can pass
    them here as parameters and a (much) more memory efficient code path will be taken.

    ","usage practice, impl details"
gensim,"if provided, a slightly more memory-efficient code path is taken",impl details
gensim,"this is more efficient that sorting a vector and then taking the greatest values, especially",comparison with alternatives
gensim,"Numpy can in some settings turn the term IDs into floats, these will be converted back into
            integers in inference, which incurs a performance hit. ","impl details, perf attributes"
gensim,you may use this argument instead of `sentences` to get performance boost,usage practice
gensim,you may use this argument instead of `sentences` to get performance boost,usage practice
gensim,whether or not the fast cython implementation of the internal training methods is available,impl details
gensim,you may use this argument instead of `sentences` to get performance boost,usage practice
gensim,"fastest method - 'u_mass', 'c_uci' also known as `c_pmi`",perf attributes
gensim,(such types may result in much slower bulk operations,impl details
gensim,"Note that you should specify total_sentences; we'll run into problems if you ask to
        score more than this number of sentences but it is inefficient to set the value too high.

        ",usage practice
gensim,"`workers` = use this many worker threads to train the model (=faster training with multicore machines).

        ",functionality desc
gensim,"tags may be one or more unicode string tokens, but typical practice (which will also be the most memory-efficient)",usage practice
gensim,their tags can be either str tokens or ints (faster),"perf attributes, directives"
gensim,you may use this argument instead of `documents` to get performance boost,usage practice
gensim,you may use this argument instead of `documents` to get performance boost,usage practice
gensim,you may use this argument instead of `documents` to get performance boost,usage practice
gensim,"doc-vector training; if 0, only trains doc-vectors (faster)","functionality desc, perf attributes"
gensim,use these many worker threads to train the model (=faster training with multicore machines),functionality desc
gensim,you may use this argument instead of `documents` to get performance boost,usage practice
gensim,"**Make sure you have a C compiler before installing Gensim, to use the optimized doc2vec routines** (70x speedup","impl details, environment"
gensim,"its faster, but does not enable you to continue","perf attributes, functionality desc"
gensim,you may use this argument instead of `sentences` to get performance boost,usage practice
gensim,use these many worker threads to train the model (=faster training with multicore machines),functionality desc
gensim,you may use this argument instead of `sentences` to get performance boost,usage practice
gensim,This module contains a fast native C implementation of Fasttext with Python interfaces. It is **not** only a wrapper,impl details
gensim,such types may result in much slower bulk operations or incompatibility with optimized routines,impl details
gensim,"Numpy can in some settings
            turn the term IDs into floats, these will be converted back into integers in inference, which incurs a
            performance hit. ","impl details, perf attributes"
gensim,hyper-parameter that controls how much we will slow down the first steps the first few iterations,functionality desc
gensim,"fastest method - 'u_mass', 'c_uci' also known as `c_pmi`",perf attributes
gensim,hyper-parameter that controls how much we will slow down the first steps the first few iterations,functionality desc
gensim,whether distributed computing should be used to accelerate training,functionality desc
gensim,"For a faster implementation of LDA (parallelized for multicore machines), see also :mod:`gensim.models.ldamulticore`.","impl details, comparison with alternatives"
gensim,"#. Is **distributed**: makes use of a cluster of machines, if available, to speed up model estimation.","usage practice, environment"
gensim,"Numpy can in some settings
            turn the term IDs into floats, these will be converted back into integers in inference, which incurs a
            performance hit. ","impl details, perf attributes"
gensim,"however that for
            hyper-threaded CPUs, this estimation returns a too high number -- set `workers`
            directly to the number of your **real** cores (not hyperthreads) minus one, for optimal performance.
        ",usage practice
gensim,hyper-parameter that controls how much we will slow down the first steps the first few iterations,functionality desc
gensim,"""""""Online Latent Dirichlet Allocation (LDA) in Python, using all CPU cores to parallelize and speed up model training.",functionality desc
gensim,"Wall-clock `performance on the English Wikipedia <http://radimrehurek.com/gensim/wiki.html>`_ (2G corpus positions,",perf attributes
gensim,replacing or improving the performance of this would greatly speed things up,misc
gensim,this is by far the slowest function in the whole algorithm,perf attributes
gensim,"Increasing the number of power iterations improves accuracy,
        but lowers performance.
    ",perf attributes
gensim,"The corpus may be larger than RAM (iterator of vectors), if `corpus` is a `scipy.sparse.csc` instead,
    it is assumed the whole corpus fits into core memory and a different (more efficient) code path is chosen.
    ",impl details
gensim,"increasing the number of power iterations improves accuracy, but lowers performance",perf attributes
gensim,Implements fast truncated SVD (Singular Value Decomposition). The SVD decomposition can be updated with new observations,functionality desc
gensim,"at any time, for an online, incremental, memory-efficient training.",functionality desc
gensim,Wall-clock `performance on the English Wikipedia <http://radimrehurek.com/gensim/wiki.html>`_,perf attributes
gensim,   *slower*.,environment
gensim,"Implementation of the efficient incremental algorithm of Renbo Zhao, Vincent Y. F. Tan et al.",functionality desc
gensim,The NMF should be used whenever one needs extremely fast and memory optimized topic model.,usage practice
gensim,"Notes
        -----
        'npmi' is more robust when dealing with common words that form part of common bigrams, and
        ranges from -1 to 1, but is slower to calculate than the default. ",perf attributes
gensim,"Phraser` will be much smaller and somewhat
        faster than using the full :class:`~gensim.models.phrases.",comparison with alternatives
gensim,    >>> bigram = Phraser(phrases)  # construct faster model (this is only an wrapper),functionality desc
gensim,slower Python versions in their place.,functionality desc
gensim,you may use this argument instead of `sentences` to get performance boost,usage practice
gensim,"Note that you should specify `total_sentences`; you'll run into problems if you ask to
        score more than this number of sentences but it is inefficient to set the value too high.

        ",usage practice
gensim,use these many worker threads to train the model (=faster training with multicore machines),functionality desc
gensim,you may use this argument instead of `sentences` to get performance boost,usage practice
gensim,"(70x speedup compared to plain NumPy implementation, https://rare-technologies.com/parallelizing-word2vec-in-python/).","perf attributes, comparison with alternatives"
gensim,resulting in a much smaller and faster object that can be mmapped for lightning,"purpose & rationale, impl details"
gensim,fast loading and sharing the vectors in RAM between processes:,"functionality desc, impl details"
gensim,to trim unneeded model state = use much less RAM and allow fast loading and memory sharing (mmap).,"functionality desc, impl details"
gensim,"Python wrapper around word representation learning from FastText, a library for efficient learning",functionality desc
gensim,"learning offset, set to higher values to slow down learning on early iterations of the algorithm",functionality desc
gensim,">>> # uses the faster, batch queries internally and **is ideal for all-vs-all pairwise similarities**:",impl details
gensim,"converted to a matrix, for faster blas calls","impl details, purpose & rationale"
gensim,"Once the index is built, you can perform efficient queries like ""Tell me how similar is this query document to each",functionality desc
gensim,"The benefit of this batch (aka ""chunked"") querying is a much better performance.","purpose & rationale, usage practice"
gensim,"uses the faster, batch queries internally and **is ideal for all-vs-all pairwise similarities**:","functionality desc, impl details"
gensim,"If you don't care about distances larger than a known threshold, a more
        efficient code path can be taken. ",impl details
gensim,"If you don't care about similarities smaller than a known threshold, a
        more efficient code path can be taken. ",impl details
gensim,org/wiki/mmap>`_ the large arrays for efficient,purpose & rationale
gensim,calculating the size of a slicedcorpus is expensive when using a slice as the corpus has,usage practice
numpy,"starting from numpy
   1.4, if one needs arrays of strings, it is recommended to use arrays of
   `dtype` `object_`, `string_` or `unicode_`, and use the free functions
   in the `numpy.char` module for fast vectorized string operations.

",usage practice
numpy,"docstring:     
efficient multi-dimensional iterator object to iterate over arrays.
",functionality desc
